44	89,47	11,37	8
44	85,84	8,65	10
38	89,02	0	9
40	75,98	11,95	9
44	81,42	13,08	7
44	73,03	10,13	10
45	66,45	11,12	8
54	83,12	10,33	10
51	69,63	10,95	8
48	91,63	10,25	9
57	73,37	12,63	7
52	76,32	9,63	9
51	67,25	11,08	9
51	73,71	10,47	9
49	76,32	0	0
52	82,78	10,50	9
40	75,07	10,07	9
42	68,15	8,17	11
47	77,45	11,63	8
47	77,45	11,63	8
43	81,19	10,85	9
38	81,87	8,63	12
45	87,66	14,03	7
47	79,15	10,60	9
49	81,42	8,95	9
51	77,91	10,00	9
49	73,37	10,08	0
54	79,38	11,17	9
50	70,87	8,92	10
54	91,63	12,88	7
57	59,08	9,93	10
48	61,24	11,50	9
